author_list,affiliation,organization_type
Min Yang,University 20,University
Yuxi Li,University 16,University
Daniel L. Silver,Company 26,Company
Gideon Dror,Company 26,Company
Graham W. Taylor,University 8,University
Isabelle Guyon,University 22,University
Vincent Lemaire 0001,Company 8,Company
Jason Eisner,Company 22,Company
François Laviolette,University 3,University
John Shawe-Taylor,University 29,University
Nicolò Cesa-Bianchi,Company 16,Company
Peter Auer,Company 25,Company
Yevgeny Seldin,University 22,University
Peter A. Flach,University 17,University
Tarek Abudawood,Company 4,Company
Halbert White,Company 2,Company
Karim Chalak,University 2,University
Xun Lu,Company 4,Company
Frederick Eberhardt,Company 11,Company
David H. Stern,University 20,University
Philipp Hennig,Company 7,Company
Ralf Herbrich,Company 5,Company
Thore Graepel,Company 16,Company
Sotirios P. Chatzis,University 26,University
Homin K. Lee,University 16,University
Rocco A. Servedio,University 29,University
Vitaly Feldman,Company 12,Company
Fides Aarts,University 3,University
Frits W. Vaandrager,University 26,University
Harco Kuppens,Company 11,Company
Jan Tretmans,University 22,University
Sicco Verwer,Company 11,Company
Olivier Collier,University 22,University
Carl Henrik Ek,University 21,University
Mathieu Salzmann,University 2,University
Raquel Urtasun,Company 24,Company
Trevor Darrell,University 23,University
Juho Rousu,University 1,University
Pierre Geurts,University 24,University
Saso Dzeroski,Company 25,Company
Artin Armagan,University 2,University
Hyun-Chul Kim,Company 17,Company
Zoubin Ghahramani,Company 10,Company
François Coste,University 18,University
Gaëlle Garet,Company 3,Company
Jacques Nicolas,Company 19,Company
Christophe Costa Florêncio,Company 6,Company
Hal Daumé III,Company 14,Company
Piyush Rai,Company 2,Company
Ameet Talwalkar,University 1,University
Mehryar Mohri,Company 17,Company
Sanjiv Kumar,Company 29,Company
Arun C. Surendran,University 5,University
Brian Kulis,Company 8,Company
John C. Platt,University 25,University
Koji Tsuda,University 27,University
Masashi Sugiyama,University 20,University
Takeaki Uno,Company 16,Company
Yasuo Tabei,Company 13,Company
Andrew McGregor 0001,University 13,University
Sudipto Guha,Company 20,Company
Geoffrey E. Hinton,Company 18,Company
Ilya Sutskever,University 22,University
Hyekyoung Lee,Company 15,Company
Seungjin Choi,University 4,University
Shahriar Shariat,University 9,University
Vladimir Pavlovic 0001,Company 30,Company
Jing Lei 0003,University 22,University
Vincent Q. Vu,Company 25,Company
Jaakko Hollmén,University 18,University
Prem Raj Adhikari,University 17,University
David A. Ross,University 13,University
Manfred Georg,Company 12,Company
Omid Madani,University 27,University
Eftychios A. Pnevmatikakis,University 14,University
Liam Paninski,Company 19,Company
Andrew B. Goldberg,Company 13,Company
Stephen J. Wright,University 5,University
Xiaojin Zhu 0001,Company 5,Company
Ronan Collobert,Company 6,Company
Elad Hazan,University 7,University
Jacob D. Abernethy,University 27,University
Peter L. Bartlett,University 7,University
Blake Shaw,Company 16,Company
Tony Jebara,Company 30,Company
Ewout van den Berg,University 26,University
Kevin P. Murphy,Company 22,Company
Mark Schmidt 0001,Company 7,Company
Michael P. Friedlander,Company 17,Company
Carl Edward Rasmussen,Company 19,Company
John P. Cunningham,University 30,University
Zoubin Ghahramani,University 16,University
Jieping Ye,University 12,University
Tao Xiong,University 23,University
Hannes P. Saal,Company 8,Company
Jo-Anne Ting,Company 24,Company
Sethu Vijayakumar,University 8,University
Genevera I. Allen,University 4,University
Andreas Krause 0001,Company 12,Company
Peter Stobbe,Company 14,Company
Hiroshi Motoda,University 1,University
Huan Liu 0001,University 24,University
Rudy Setiono,Company 16,Company
Zheng Zhao,Company 17,Company
Chun-Liang Li,University 27,University
Chun-Sung Ferng,University 29,University
Hsuan-Tien Lin,University 10,University
Aleksey Polovinkin,University 3,University
Victor Eruhimov,Company 15,Company
Vladimir Martyanov,University 29,University
Koby Crammer,Company 16,Company
Shie Mannor,University 2,University
Yoav Haimovitch,University 11,University
Galen Andrew,University 1,University
Jeff A. Bilmes,University 30,University
Catherine Oriat,University 5,University
Muhammad-Naeem Irfan,University 15,University
Roland Groz,Company 2,Company
Subramani Mani,University 12,University
Yukun Chen,University 9,University
Raphaël Bailly,University 19,University
Peter D. Grünwald,Company 8,Company
Wojciech Kotlowski,University 19,University
Bryan R. Conroy,Company 18,Company
Paul Sajda,Company 4,Company
Alexander Tsiatas,University 3,University
Fan Chung Graham,Company 1,Company
Kamalika Chaudhuri,Company 8,Company
Michèle Sebag,University 18,University
Weijia Wang 0001,University 18,University
Petri Kontkanen,University 14,University
Petri Myllymäki,Company 28,Company
Alekh Agarwal,University 25,University
Clément Levrard,Company 8,Company
John C. Duchi,University 19,University
Peter L. Bartlett,Company 29,Company
David M. Blei,Company 20,Company
Lauren Hannah,Company 7,Company
Warren B. Powell,University 10,University
Marina Meila,University 1,University
Xiaotong Shen,University 5,University
Claudio Gentile,University 16,University
Francesco Orabona,University 7,University
Nicolò Cesa-Bianchi,Company 3,Company
Naftali Tishby,Company 13,Company
Yevgeny Seldin,Company 20,Company
Alfons Juan,Company 11,Company
Antonio L. Lagarda,Company 8,Company
Francisco Casacuberta,University 6,University
Jorge Civera,Company 4,Company
Andriy Mnih,University 8,University
Ameet Talwalkar,University 24,University
Mehryar Mohri,University 5,University
Guy Lebanon,University 3,University
Joshua V. Dillon,Company 24,Company
Bharath K. Sriperumbudur,Company 20,Company
Ingo Steinwart,Company 16,Company
Chong Wang 0002,University 5,University
David M. Blei,University 25,University
John W. Paisley,University 24,University
Dean P. Foster,Company 4,Company
Ruslan Salakhutdinov,Company 5,Company
Sham M. Kakade,Company 6,Company
Frederik Eaton,Company 21,Company
David Luengo,University 4,University
Mauricio A. Álvarez,University 9,University
Neil D. Lawrence,University 9,University
Nicolas Le Roux,Company 27,Company
Yoshua Bengio,Company 3,Company
Davide Ariu,University 20,University
Giorgio Giacinto,University 14,University
Shuicheng Yan,University 17,University
Xiaotong Yuan,University 7,University
Adam Coates 0002,University 9,University
Andrew Y. Ng,University 16,University
Honglak Lee,Company 16,Company
Hanna M. Wallach,University 29,University
Katherine A. Heller,Company 17,Company
Lee H. Dicker,University 20,University
Shane T. Jensen,Company 4,Company
Peter J. Ramadge,Company 2,Company
Robert E. Schapire,University 7,University
Yongxin Taylor Xi,Company 25,Company
Zhen James Xiang,University 6,University
Bertrand Haas,Company 27,Company
Edoardo M. Airoldi,University 2,University
Constantine Caramanis,University 1,University
Huan Xu,Company 6,Company
Shie Mannor,Company 15,Company
Anicet R. Blanch,University 24,University
David Sánchez-Mendoza,University 7,University
Lluís A. Belanche Muñoz,University 17,University
Antonino Freno,University 6,University
Alejandro H. Toselli,University 6,University
Alfons Juan,Company 27,Company
Enrique Vidal 0001,University 2,University
Joan-Andreu Sánchez,Company 23,Company
Nicolás Serrano,University 14,University
Verónica Romero 0001,University 5,University
Han Liu,Company 28,Company
Jian Zhang 0003,University 26,University
Jun Liu 0003,Company 25,Company
Xiaoye Jiang,Company 20,Company
Jesús S. Aguilar-Ruiz,Company 24,Company
José C. Riquelme,Company 15,Company
Roberto Ruiz,Company 24,Company
Frederik Eaton,Company 5,Company
Zoubin Ghahramani,University 20,University
Dian Gong,University 30,University
Fei Sha,University 14,University
Gérard G. Medioni,University 16,University
Brendan J. Frey,Company 19,Company
Nevena Lazic,University 27,University
Parham Aarabi,University 4,University
Cristian Sminchisescu,Company 10,Company
Max Welling,University 16,University
Aarti Singh,Company 8,Company
Alessandro Rinaldo,University 18,University
Don Sheehy,University 29,University
Larry A. Wasserman,Company 10,Company
Sivaraman Balakrishnan,Company 30,Company
Animashree Anandkumar,Company 21,Company
Daniel J. Hsu,University 6,University
Sham M. Kakade,Company 2,Company
David H. Stern,Company 22,Company
Philipp Hennig,University 12,University
Thore Graepel,University 14,University
Elham Salehi,University 4,University
Jayashree Nyayachavadi,University 12,University
Robin Gras,Company 24,Company
Tian-Hsiang Huang,University 14,University
Vladimir Nikulin,Company 25,Company
Bernhard Steffen,Company 8,Company
Falk Howar,Company 10,Company
Malte Isberner,Company 19,Company
Aaron Wilson,Company 18,Company
Alan Fern,University 1,University
Prasad Tadepalli,University 5,University
Guang Dai,Company 13,Company
Michael I. Jordan,Company 27,Company
Zhihua Zhang,University 26,University
Daniel A. Spielman,Company 5,Company
Huan Wang,University 20,University
John Wright 0001,University 16,University
Arthur Gretton,University 24,University
Hao Shen,Company 23,Company
Stefanie Jegelka,Company 17,Company
Alexandru Niculescu-Mizil,Company 26,Company
Rich Caruana 0001,University 22,University
Arnaud Bergeron,University 5,University
Dumitru Erhan,University 2,University
François Savard,University 4,University
Frédéric Bastien,Company 12,Company
Guillaume Sicard,University 4,University
Jeremy Eustache,University 21,University
Moustapha Cissé,Company 1,Company
Myriam Côté,Company 16,Company
Nicolas Boulanger-Lewandowski,University 30,University
Razvan Pascanu,Company 5,Company
Salah Rifai,Company 30,Company
Sylvain Pannetier Lebeuf,University 15,University
Thomas M. Breuel,University 27,University
Xavier Glorot,Company 7,Company
Xavier Muller,University 7,University
Yoshua Bengio,University 28,University
Youssouf Chherawala,University 19,University
Chih-Jen Lin,University 3,University
Yin-Wen Chang,University 27,University
Mikhail Belkin,University 14,University
Qichao Que,University 8,University
Xueyuan Zhou,University 5,University
Yusu Wang,University 5,University
Justin Domke,Company 2,Company
Denver Dash,University 30,University
Marek J. Druzdzel,University 23,University
Mark Voortman,University 4,University
Aleksandrs Slivkins,University 6,University
Jeff G. Schneider,Company 24,Company
Le Song,University 20,University
Tzu-Kuo Huang,Company 25,Company
Mehreen Saeed,University 2,University
Bastian Wemmenhove,University 2,University
Bert Kappen,Company 6,Company
Joris M. Mooij,University 30,University
Tommaso Rizzo,University 15,University
Albert Bifet,Company 8,Company
Bernhard Pfahringer,Company 30,Company
Geoffrey Holmes 0001,University 27,University
Ricard Gavaldà,University 22,University
Bin Li 0027,University 9,University
Peilin Zhao,University 22,University
Steven C. H. Hoi,University 4,University
Vivekanand Gopalkrishnan,University 30,University
Carsten Ullrich,Company 19,Company
Changyong Niu,University 14,University
Heng Luo,University 14,University
Ruimin Shen,Company 23,Company
Ata Kabán,University 21,University
Robert J. Durrant,University 13,University
Eiji Takimoto,Company 11,Company
Kohei Hatano,Company 20,Company
Masayuki Takeda,University 19,University
Shota Yasutake,Company 14,Company
Rina Foygel,Company 6,Company
Katherine A. Heller,University 7,University
Ricardo Bezerra de Andrade e Silva,Company 1,Company
Zoubin Ghahramani,University 22,University
Naresh Manwani,University 26,University
P. S. Sastry,University 26,University
David Kempe 0001,Company 17,Company
Mohammad R. Salavatipour,University 10,University
Omid Madani,University 14,University
Wiley Greiner,Company 29,Company
Azadeh Khaleghi,University 28,University
Daniil Ryabko,Company 12,Company
Jérémie Mary,University 26,University
Philippe Preux,University 17,University
Aurélien Garivier,University 18,University
Olivier Cappé,University 12,University
Gui-Bo Ye,University 21,University
Xiaohui Xie,University 29,University
Yifei Chen,Company 16,Company
Ian M. Molloy,Company 1,Company
Nan Ding 0002,Company 14,Company
Ninghui Li,Company 3,Company
Rongjing Xiang,Company 28,Company
Yuan (Alan) Qi,University 10,University
Ankur P. Parikh,University 16,University
Eric P. Xing,Company 1,Company
Le Song,Company 9,Company
Qirong Ho,University 2,University
Frank D. Wood,University 13,University
Yee Whye Teh,University 19,University
Chunxia Wang,Company 9,Company
Juanying Xie,Company 9,Company
Weixin Xie,Company 2,Company
Xinbo Gao 0001,Company 9,Company
Ambuj Tewari,Company 23,Company
Eunho Yang,University 23,University
Pradeep Ravikumar,University 11,University
Aapo Hyvärinen,University 21,University
Michael Gutmann,Company 15,Company
Irina Borisova,University 25,University
Nikolay G. Zagoruiko,University 19,University
Olga Kutnenko,University 16,University
Vladimir Dyubanov,University 8,University
Grace Wahba,University 11,University
Héctor Corrada Bravo,University 5,University
Kevin H. Eng,University 26,University
Stephen J. Wright,University 10,University
Sündüz Keles,University 28,University
Dinh Q. Phung,Company 17,Company
Svetha Venkatesh,University 3,University
Truyen Tran 0001,Company 21,Company
Guy Lebanon,University 20,University
Mingxuan Sun,Company 5,Company
Paul Kidwell,Company 20,Company
Arne Mauser,Company 18,Company
Christian Buck,University 27,University
Christian Oberdörfer,University 15,University
Jens Forster,Company 15,Company
Johannes Laudenberg,Company 6,Company
Michael Kramp,Company 29,Company
Niklas Hoppe,University 3,University
Pascal Steingrube,Company 18,Company
Patrick Doetsch,University 15,University
Pavlo Golik,University 23,University
Hiroshi Sawada,Company 8,Company
Katsuhiko Ishiguro,Company 25,Company
Naonori Ueda,Company 13,Company
Scott Sanner,University 29,University
Shengbo Guo,Company 25,Company
Jeff A. Bilmes,Company 17,Company
Xiao Li 0006,University 27,University
Florin Popescu,University 29,University
David R. Kaeli,Company 7,Company
Fatemeh Azmandian,University 3,University
Javed A. Aslam,Company 12,Company
Jennifer G. Dy,University 7,University
Xavier Glorot,University 13,University
Yoshua Bengio,Company 15,Company
Nicolas Vayatis,Company 14,Company
Stéphan Clémençon,Company 14,Company
Steve R. Gunn,Company 25,Company
Sándor Szedmák,University 4,University
Yizhao Ni,University 17,University
Pierre Baldi,Company 19,Company
Hiroshi Motoda,University 7,University
Huan Liu 0001,University 24,University
Rudy Setiono,Company 24,Company
